name;category;location;quantity;minStock;optimalStock
Кабель SATA;CAB;4-12-1;71;5;85
Адаптер Wi-Fi PCI-E;WIFI;3-6-2;42;5;50
IP-телефон Gigabit;PHONE;1-15-5;59;5;70
Камера уличная;SEC;2-4-4;26;5;31
ИБП Tower;PWR;4-10-3;53;5;63
Массив RAID;STOR;3-7-1;38;5;45
Маршрутизатор MikroTik;ROUT;1-14-2;65;5;78
Модем VDSL;TEL;2-3-5;24;5;28
Коммутатор Core;NET;4-11-4;49;5;58
Кабель питания;CAB;3-9-3;76;5;91
Точка доступа OpenMesh;WIFI;1-5-1;35;5;42
Телефонный кабель;PHONE;2-13-2;62;5;74
Датчик протечки;SEC;4-8-5;29;5;34
Блок бесперебойный;PWR;3-12-4;46;5;55
Карта microSD;STOR;1-6-3;43;5;51
Маршрутизатор TP-Link;ROUT;2-10-1;57;5;68
АТС панельная;TEL;4-16-2;32;5;38
Коммутатор Distribution;NET;3-7-5;41;5;49
Кабель патч-корд экранированный;CAB;1-4-4;68;5;81
Точка доступа UniFi;WIFI;2-14-3;27;5;32
Телефон SIP;PHONE;4-8-1;54;5;64
Камера корпусная;SEC;3-11-2;39;5;46
Блок питания PoE;PWR;1-5-5;45;5;54
Накопитель M.2;STOR;2-9-4;52;5;62
Маршрутизатор D-Link;ROUT;4-13-3;36;5;43
Модем кабельный;TEL;3-6-1;63;5;75
Коммутатор Edge;NET;1-15-2;34;5;40
Кабель консольный;CAB;2-7-5;59;5;70
Адаптер Wi-Fi 802.11ac;WIFI;4-12-4;48;5;57
Телефонный адаптер;PHONE;3-4-3;25;5;30
Датчик открытия;SEC;1-10-1;51;5;61
ИБП Rackmount;PWR;2-8-2;38;5;45
Диск SAS;STOR;4-14-5;47;5;56
Маршрутизатор Netgear;ROUT;3-3-4;64;5;76
GSM терминал;TEL;1-11-3;29;5;34
Коммутатор Modular;NET;2-9-1;42;5;50
Кабель телефонный;CAB;4-5-2;77;5;92
Точка доступа Outdoor 5GHz;WIFI;3-13-5;33;5;39
Телефонный концентратор;PHONE;1-7-4;56;5;67
Камера скрытая;SEC;2-12-3;31;5;37
Стабилизатор сервоприводный;PWR;4-6-1;48;5;57
Лента для стримера;STOR;3-10-2;35;5;42
Маршрутизатор ASUS;ROUT;1-15-5;62;5;74
Модем ADSL2+;TEL;2-4-4;27;5;32
Коммутатор Half-Duplex;NET;4-8-3;53;5;63
Кабель USB-C;CAB;3-11-1;69;5;82
Адаптер Wi-Fi Dual Band;WIFI;1-5-2;44;5;52
Телефонный справочный;PHONE;2-14-4;61;5;73
Датчик температуры;SEC;4-7-5;26;5;31
Блок питания резервный;PWR;3-9-3;49;5;58
Диск SATA HDD;STOR;1-13-1;36;5;43
Маршрутизатор ZTE;ROUT;2-6-2;55;5;66
Система интерком;TEL;4-12-4;32;5;38
Коммутатор Full-Duplex;NET;3-8-3;47;5;56
Кабель Molex;CAB;1-4-5;73;5;87
Точка доступа Ceiling Mount;WIFI;2-10-1;30;5;36
Телефонный автоответчик;PHONE;4-15-2;57;5;68
Датчик вибрации;SEC;3-7-4;34;5;40
ИБП Line-Interactive;PWR;1-11-3;51;5;61
Флеш-карта CompactFlash;STOR;2-5-5;38;5;45
Маршрутизатор Huawei;ROUT;4-9-1;66;5;79
Модем 3G USB;TEL;3-14-2;25;5;30
Коммутатор Backbone;NET;1-6-4;42;5;50
Кабель Ethernet;CAB;2-12-3;58;5;69
Адаптер Wi-Fi Nano;WIFI;4-8-5;45;5;54
Телефонный маршрутизатор;PHONE;3-3-1;29;5;34
Камера тепловизор;SEC;1-10-2;63;5;75
Блок питания DIN-rail;PWR;2-13-4;40;5;48
Накопитель USB 3.0;STOR;4-7-3;47;5;56
Маршрутизатор Cisco;ROUT;3-5-5;54;5;64
Модем Dial-up;TEL;1-11-1;31;5;37
Коммутатор Metro;NET;2-9-2;48;5;57
Кабель коаксиальный;CAB;4-15-4;75;5;90
Точка доступа Hospitality;WIFI;3-4-3;35;5;42
Телефонный кросс;PHONE;1-12-5;62;5;74
Датчик давления;SEC;2-8-1;28;5;33
Стабилизатор релейный;PWR;4-6-2;53;5;63
Диск NVMe SSD;STOR;3-10-4;41;5;49
Маршрутизатор Ubiquiti;ROUT;1-14-3;68;5;81
Система VoIP;TEL;2-7-5;26;5;31
Коммутатор Compact;NET;4-5-1;43;5;51
Кабель FireWire;CAB;3-13-2;59;5;70
Адаптер Wi-Fi Long Range;WIFI;1-9-4;36;5;43
Телефонный ключ;PHONE;2-11-3;55;5;66
Датчик освещенности;SEC;4-8-1;32;5;38
ИБП Delta;PWR;3-6-5;49;5;58
Лента LTO;STOR;1-12-2;44;5;52
Маршрутизатор Tenda;ROUT;2-4-4;61;5;73
Модем ISDN;TEL;4-10-3;27;5;32
Коммутатор Industrial;NET;3-15-1;52;5;62
Кабель Mini SAS;CAB;1-7-5;70;5;84
Точка доступа Mesh;WIFI;2-13-2;39;5;46
Телефонный интерфейс;PHONE;4-5-4;46;5;55
Датчик влажности;SEC;3-11-3;33;5;39
Блок питания медицинский;PWR;1-9-1;58;5;69
Диск SCSI;STOR;2-14-5;35;5;42
Маршрутизатор OpenWrt;ROUT;4-8-2;62;5;74
Модем xDSL;TEL;3-6-3;29;5;34
Коммутатор Blade;NET;1-12-4;47;5;56
Кабель Thunderbolt;CAB;2-10-1;64;5;76
Адаптер Wi-Fi 802.11n;WIFI;4-16-5;41;5;49
Телефонный фильтр;PHONE;3-7-2;56;5;67
Камера аналоговая;SEC;1-4-3;24;5;28
Стабилизатор инверторный;PWR;2-13-4;51;5;61
Накопитель eMMC;STOR;4-11-1;38;5;45
Маршрутизатор DD-WRT;ROUT;3-5-2;65;5;78
Система конференц-связи;TEL;1-15-5;32;5;38
Коммутатор Top-of-Rack;NET;2-8-3;49;5;58
Кабель Serial ATA;CAB;4-6-4;67;5;80
Точка доступа Carrier;WIFI;3-12-1;34;5;40
Телефонный декодер;PHONE;1-9-2;61;5;73
Датчик газа;SEC;2-14-5;28;5;33
ИБП Double Conversion;PWR;4-7-3;53;5;63
Диск M.2 NVMe;STOR;3-10-4;40;5;48
Маршрутизатор Google;ROUT;1-4-1;57;5;68
Модем DOCSIS 3.0;TEL;2-11-2;45;5;54
Коммутатор Spine;NET;4-8-5;31;5;37
Кабель Parallel;CAB;3-13-3;72;5;86
Адаптер Wi-Fi 802.11ax;WIFI;1-5-4;48;5;57
Телефонный шифратор;PHONE;2-15-1;25;5;30
Датчик уровня воды;SEC;4-9-2;52;5;62
Блок питания冗余ный;PWR;3-12-5;39;5;46
Лента DLT;STOR;1-6-3;46;5;55
Маршрутизатор Apple;ROUT;2-10-4;63;5;75
Модем LTE-A;TEL;4-7-1;30;5;36
Коммутатор ToR;NET;3-14-2;55;5;66
Кабель Optical Fiber;CAB;1-8-5;69;5;82
Точка доступа 802.11ac Wave 2;WIFI;2-11-3;36;5;43
Телефонный имитатор;PHONE;4-5-4;53;5;63
Камера IP купольная;SEC;3-13-1;41;5;49
Стабилизатор электромеханический;PWR;1-9-2;58;5;69
Диск SAS SSD;STOR;2-6-5;35;5;42
Маршрутизатор Linksys;ROUT;4-12-3;62;5;74
Модем Fiber;TEL;3-4-4;29;5;34
Коммутатор Enterprise;NET;1-15-1;47;5;56
Кабель Mini DisplayPort;CAB;2-10-2;64;5;76
Адаптер Wi-Fi Portable;WIFI;4-7-5;43;5;51
Телефонный анализатор;PHONE;3-11-3;60;5;72
Датчик тока;SEC;1-8-4;27;5;32
ИБП Modular;PWR;2-14-1;54;5;64
Накопитель SDXC;STOR;4-6-2;37;5;44
Маршрутизатор Buffalo;ROUT;3-13-5;65;5;78
Модем SHDSL;TEL;1-5-3;32;5;38
Коммутатор Data Center;NET;2-9-4;49;5;58
Кабель DVI;CAB;4-12-1;71;5;85
Точка доступа 802.11ad;WIFI;3-7-2;34;5;40
Телефонный тестер;PHONE;1-15-5;57;5;68
Датчик магнитный;SEC;2-4-3;26;5;31
Блок питания горячей замены;PWR;4-10-4;51;5;61
Лента VXA;STOR;3-8-1;38;5;45
Маршрутизатор Belkin;ROUT;1-11-2;66;5;79
Модем G.fast;TEL;2-6-5;25;5;30
Коммутатор Fabric;NET;4-13-3;42;5;50
Кабель Ribbon;CAB;3-5-4;58;5;69
Адаптер Wi-Fi Internal;WIFI;1-14-1;45;5;54
Телефонный симулятор;PHONE;2-9-2;29;5;34
Датчик расстояния;SEC;4-7-5;63;5;75
Стабилизатор феррорезонансный;PWR;3-12-3;40;5;48
Диск FC HDD;STOR;1-4-4;47;5;56
Маршрутизатор TRENDnet;ROUT;2-10-1;54;5;64
Модем V.92;TEL;4-16-2;31;5;37
Коммутатор Chassis;NET;3-8-5;48;5;57
Кабель SCSI;CAB;1-11-3;75;5;90
Точка доступа 802.11r;WIFI;2-6-4;35;5;42
Телефонный монитор;PHONE;4-13-1;62;5;74
Датчик углекислого газа;SEC;3-5-2;28;5;33
ИБП Transformer-based;PWR;1-15-5;53;5;63
Накопитель Memory Stick;STOR;2-7-3;41;5;49
Маршрутизатор ZyXEL;ROUT;4-9-4;68;5;81
Модем LTE Cat6;TEL;3-12-1;26;5;31
Коммутатор Virtual;NET;1-4-2;43;5;51
Кабель MIDI;CAB;2-10-5;59;5;70
Адаптер Wi-Fi 802.11g;WIFI;4-8-3;36;5;43
Телефонный эмулятор;PHONE;3-14-4;55;5;66
Датчик качества воздуха;SEC;1-6-1;32;5;38
Блок питания тиристорный;PWR;2-11-2;49;5;58
Лента QIC;STOR;4-7-5;44;5;52
Маршрутизатор Synology;ROUT;3-5-3;61;5;73
Модем CDMA;TEL;1-13-4;27;5;32
Коммутатор Fixed;NET;2-9-1;52;5;62
Кабель Firewall;CAB;4-12-2;70;5;84
Точка доступа 802.11k;WIFI;3-8-5;39;5;46
Телефонный рекордер;PHONE;1-15-3;46;5;55
Датчик радиации;SEC;2-7-4;33;5;39
Стабилизатор с двойным преобразованием;PWR;4-10-1;58;5;69
Диск ATA;STOR;3-6-2;35;5;42
Маршрутизатор QNAP;ROUT;1-14-5;62;5;74
Модем HSUPA;TEL;2-5-3;29;5;34
Коммутатор Stack;NET;4-11-4;47;5;56
Кабель SAS External;CAB;3-9-1;64;5;76
Адаптер Wi-Fi 802.11b;WIFI;1-13-2;41;5;49
Телефонный генератор;PHONE;2-8-5;56;5;67
Датчик шума;SEC;4-4-3;24;5;28
ИБП Online Double Conversion;PWR;3-12-4;51;5;61
Накопитель xD-Picture;STOR;1-10-1;38;5;45
Маршрутизатор Mikrotik Cloud;ROUT;2-7-2;65;5;78
Модем EV-DO;TEL;4-15-5;32;5;38
Коммутатор Modular Chassis;NET;3-6-3;49;5;58
Кабель DB-25;CAB;1-11-4;67;5;80
Точка доступа 802.11v;WIFI;2-9-1;34;5;40
Телефонный сканер;PHONE;4-13-2;61;5;73
Датчик UV;SEC;3-5-5;28;5;33
Блок питания импульсный;PWR;1-14-3;53;5;63
Диск SATA SSD;STOR;2-8-4;40;5;48
Маршрутизатор Open Source;ROUT;4-10-1;57;5;68
Модем TD-LTE;TEL;3-12-2;45;5;54
Коммутатор Core Distribution;NET;1-4-5;31;5;37
Кабель DB-9;CAB;2-7-3;72;5;86
Адаптер Wi-Fi 802.11a;WIFI;4-11-4;48;5;57
Телефонный декодер DTMF;PHONE;3-9-1;25;5;30
Датчик пламени;SEC;1-15-2;52;5;62
